,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,31.780000,31.780000,30.250000,30.870000,28.479498,2928700,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-05,30.890000,31.050000,30.690000,30.990000,28.590206,2126900,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-06,31.000000,31.040000,30.590000,30.650000,28.276535,1209200,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-07,30.710000,30.830000,30.270000,30.300000,27.953638,1861600,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-08,30.180000,30.840000,30.110000,30.790000,28.405694,1600600,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-11,30.980000,31.180000,30.890000,31.040000,28.636334,959800,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-12,30.930000,30.999900,30.220000,30.370000,28.018217,1021600,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-13,30.480000,30.700000,29.800000,30.270000,27.925961,1420500,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-14,30.450000,30.520000,30.000000,30.380000,28.027443,1159600,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
2010-01-15,30.370000,30.370000,29.740000,30.080000,27.750674,1438600,0.000000,1.000000,TDC,Common Stock,Teradata Corp,"Teradata Corporation is a provider of hybrid cloud analytics software. The company is headquartered in San Diego, California.",816761,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"17095 VIA DEL CAMPO, SAN DIEGO, CA, US",https://www.teradata.com,December,2025-03-31,2218876000,311000000,16.46,3.353,1.648,None,None,1.41,17.77,0.081,0.148,0.079,1.302,1703000000,1026000000,1.41,1.25,-0.101,24.88,1,3,4,0,2,16.46,10.92,1.303,14.04,1.432,7.84,0.834,35.59,18.43,22.17,26.83,95600000,85071000,1.590,99.809,None,None
