,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,25.690000,25.870000,25.400000,25.810000,15.078762,4550800,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-05,25.710000,26.220000,25.590000,26.180000,15.294924,7023400,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-06,25.950000,26.910000,25.950000,26.580000,15.616246,7824000,0.150000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-07,26.530000,27.960000,26.420000,27.650000,16.244891,9981500,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-08,27.520000,27.800000,26.980000,27.340000,16.062760,5948300,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-11,27.540000,27.540000,27.000000,27.340000,16.062760,4074200,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-12,27.140000,27.800000,27.140000,27.430000,16.115637,8415800,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-13,27.410000,28.000000,27.340000,27.900000,16.391771,5030400,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-14,27.750000,28.640000,27.750000,28.520000,16.756032,5784200,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
2010-01-15,28.290000,28.380000,27.630000,27.760000,16.309518,7970000,0.000000,1.000000,TFC,Common Stock,Truist Financial Corp,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina. Its bank operates 2,781 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.",92230,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"214 NORTH TRYON STREET, CHARLOTTE, NC, US",https://www.truist.com,December,2025-03-31,59636453000,None,None,1.944,44.85,2.08,0.0484,-0.19,8.71,0.423,0.387,0.0002,0.0013,11531000000,11531000000,-0.19,0.077,0.028,45.97,3,8,12,0,0,-,11.64,5.17,1.016,9.08,-,0.815,47.87,33.12,40.22,42.77,1309540000,1306069000,0.223,79.664,2025-06-02,2025-05-09
