,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,5.440000,5.560000,5.390000,5.450000,21.800000,5353200,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-05,5.920000,6.160000,5.910000,6.000000,24.000000,26854000,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-06,6.030000,6.050000,5.840000,5.900000,23.600000,7894000,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-07,6.070000,6.150000,5.980000,6.010000,24.040000,9410800,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-08,6.010000,6.280000,6.010000,6.250000,25.000000,10325600,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-11,6.360000,6.380000,6.110000,6.140000,24.560000,5221600,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-12,6.030000,6.080000,5.860000,5.910000,23.640000,7155200,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-13,5.990000,6.280000,5.960000,6.250000,25.000000,9702400,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-14,6.290000,6.440000,6.150000,6.290000,25.160000,9964000,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
2010-01-15,6.260000,6.340000,6.060000,6.070000,24.280000,8116000,0.000000,1.000000,THC,Common Stock,Tenet Healthcare Corporation,"Tenet Healthcare Corporation is a diversified health services company. The company is headquartered in Dallas, Texas.",70318,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","14201 DALLAS PARKWAY, DALLAS, TX, US",https://www.tenethealth.com,December,2025-03-31,15929777000,4195000000,11.0,0.854,45.01,None,None,15.59,214.71,0.0709,0.189,0.0726,0.288,20519999000,8287000000,15.59,-0.8,-0.027,186.83,5,13,4,0,0,11.0,14.45,0.776,3.81,1.272,5.73,1.668,178.76,109.82,159.91,145.41,92885000,92150000,0.729,99.098,None,2000-03-13
