,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,48.030000,48.030000,47.450000,47.500000,45.063314,7182800,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-05,47.610000,47.750000,47.250000,47.660000,45.215106,3221900,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-06,47.780000,48.435000,47.620000,48.110000,45.642022,3065000,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-07,48.120000,48.200000,47.760000,48.110000,45.642022,2638300,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-08,48.120000,48.920000,47.880000,48.920000,46.410470,3162200,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-11,49.370000,49.670000,49.000000,49.500000,46.960717,2844500,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-12,49.380000,49.380000,48.440000,48.680000,46.182781,3253600,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-13,48.670000,48.970000,48.110000,48.700000,46.201755,2890300,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-14,48.780000,48.890000,48.270000,48.420000,45.936119,1885800,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
2010-01-15,48.400000,48.410000,47.350000,47.750000,45.300489,5187800,0.000000,1.000000,TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",https://www.thermofisher.com,December,2025-03-31,162069496000,10826000000,25.2,1.651,130.84,1.6,0.0042,17.04,112.59,0.152,0.177,0.05,0.137,42898002000,17775000000,17.04,0.15,0.002,554.6,7,18,6,0,0,25.2,19.16,3.778,3.281,4.436,16.73,0.78,625.84,385.46,410.68,508.14,377494000,376686000,0.186,92.524,2025-07-15,2025-06-13
