,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2021-09-22,65.260000,65.990000,58.210000,62.510000,62.510000,14255592,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-23,62.320000,64.940000,59.000000,59.000000,59.000000,4579120,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-24,59.500000,61.195000,53.000000,55.780000,55.780000,3928233,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-27,55.510000,56.372700,54.110000,54.900000,54.900000,2277851,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-28,54.020000,54.250000,50.100000,50.850000,50.850000,3987966,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-29,50.600000,52.860000,49.000000,49.780000,49.780000,1676477,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-09-30,49.930000,52.888800,49.840000,49.950000,49.950000,1444029,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-10-01,50.090000,53.850000,49.890000,53.550000,53.550000,959750,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-10-04,53.550000,53.650000,50.660000,52.070000,52.070000,1285208,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
2021-10-05,51.820000,55.595000,51.570000,52.100000,52.100000,1641487,0.000000,1.000000,TOST,Common Stock,Toast Inc,"Toast, Inc. operates a cloud-based technology platform for the restaurant industry in the United States and Ireland. The company is headquartered in Boston, Massachusetts.",1650164,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"401 PARK DRIVE, SUITE 801, BOSTON, MA, US",https://www.pos.toasttab.com,December,2025-03-31,25211685000,184000000,161.41,0.393,2.899,None,None,0.27,9.23,0.0303,0.0374,0.0358,0.11,5222000000,1292000000,0.27,0,0.244,43.43,3,11,16,0,1,161.41,46.3,4.828,15.07,4.547,131.19,2.025,45.56,22.1,41.3,36.81,498000000,454249000,8.862,93.606,None,None
