,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,36.890000,36.890000,36.110000,36.310000,24.090433,3350600,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-05,36.340000,37.280000,35.890000,36.750000,24.382358,3223400,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-06,36.650000,37.570000,36.570000,37.470000,24.860053,2968300,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-07,37.580000,37.960000,37.290000,37.490000,24.873322,2719200,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-08,37.220000,37.350000,36.880000,37.270000,24.727360,3140000,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-11,37.460000,38.510000,37.460000,38.320000,25.423998,4025800,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-12,38.100000,38.650000,37.750000,38.600000,25.609769,5185900,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-13,38.550000,38.550000,37.760000,38.270000,25.390825,3243900,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-14,38.210000,38.330000,37.180100,37.500000,24.879957,4511700,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
2010-01-15,37.540000,37.840000,36.640000,36.790000,24.408896,6035800,0.000000,1.000000,TPR,Common Stock,Tapestry Inc,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman.",1116132,NYSE,USD,USA,MANUFACTURING,LEATHER & LEATHER PRODUCTS,"516 WEST 34TH ST, NEW YORK, NY, US",https://www.tapestry.com,June,2025-03-31,18733638000,1542200000,23.74,1.234,7.19,1.4,0.0159,3.8,30.97,0.125,0.172,0.0817,0.403,6878600000,5165000000,3.8,0.583,0.069,89.08,5,9,6,0,1,23.74,16.67,2.724,12.54,3.167,16.29,1.478,90.84,34.44,79.66,67.43,207690000,206704000,0.412,103.116,2025-06-23,2025-06-06
