,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,12.270000,12.300000,12.150000,12.240000,9.225454,3355000,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-05,12.210000,12.485000,12.210000,12.470000,9.398808,3781300,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-06,12.790000,13.120000,12.580000,13.100000,9.873647,6810500,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-07,13.100000,13.420400,13.010000,13.330000,10.047002,5979200,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-08,13.290000,13.370000,13.120000,13.300000,10.024390,3999300,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-11,13.290000,13.400000,13.040000,13.120000,9.888722,2875700,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-12,13.060000,13.130000,12.940000,12.970000,9.775665,3315600,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-13,13.000000,13.410000,12.960000,13.310000,10.031927,3900600,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-14,13.890000,14.090000,13.730000,14.040000,10.582138,8703500,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-15,14.080000,14.080000,13.760000,13.890000,10.469081,5633700,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-19,13.860000,14.060000,13.730000,13.990000,10.544452,4694600,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-20,13.860000,13.920000,13.650000,13.900000,10.476618,4448900,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-21,13.900000,13.960000,13.540000,13.650000,10.288190,6339100,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-22,13.960000,14.020000,13.740000,13.770000,10.378635,5865600,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-25,13.880000,14.060000,13.680000,13.890000,10.469081,4363300,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-26,13.830000,14.110000,13.730000,13.980000,10.536915,4628700,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-27,13.980000,14.020000,13.720000,13.780000,10.386173,5437200,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-28,13.770000,13.915000,13.680000,13.790000,10.393710,5243100,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-01-29,13.900000,14.000000,13.780000,13.820000,10.416321,4792900,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-02-01,13.830000,13.990000,13.790000,13.990000,10.544452,3347400,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-02-02,14.000000,14.380000,13.960000,14.270000,10.755492,4978000,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
2010-02-03,14.170000,14.370000,14.110000,14.350000,10.815789,2992000,0.000000,1.000000,TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",100493,NYSE,USD,USA,MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING,"2200 DON TYSON PARKWAY, SPRINGDALE, AR, US",https://www.tysonfoods.com,September,2025-03-31,20433582000,3490000000,22.32,0.44,51.65,1.99,0.0358,2.57,151.03,0.0171,0.0394,0.0367,0.0511,53615002000,4220000000,2.57,-0.952,0,66.64,2,4,8,0,0,22.32,13.89,0.381,1.111,0.532,9.17,0.585,65.23,53.09,56.48,58.95,286225000,278981000,2.502,87.281,2025-09-12,2025-08-29
