,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,12.985000,13.110000,12.530000,12.800000,12.800000,8785900,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-05,12.870000,14.100000,12.870000,13.910000,13.910000,23646300,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-06,13.740000,13.985000,13.130000,13.270000,13.270000,15398700,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-07,13.200000,13.950000,13.200000,13.550000,13.550000,10177000,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-08,13.560000,13.860000,13.130000,13.330000,13.330000,5896400,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-11,13.360000,13.419900,12.660000,13.110000,13.110000,10168600,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-12,13.000000,13.160000,12.590000,12.690000,12.690000,7203300,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-13,12.750000,14.050000,12.530000,13.950000,13.950000,25097400,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-14,13.840000,14.110000,13.650000,13.930000,13.930000,8794300,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
2010-01-15,13.930000,14.070000,13.220000,13.250000,13.250000,10210700,0.000000,1.000000,UAL,Common Stock,United Airlines Holdings Inc,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation, Allegis Corporation and founded originally as UAL, Inc.) is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UAH owns and operates United Airlines, Inc.",100517,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","ROBERT S. RIVKIN - WHQLD, 233 SOUTH WACKER DRIVE, CHICAGO, IL, US",https://www.united.com,December,2025-03-31,26898858000,8504000000,7.49,5.8,38.52,None,None,10.99,175.79,0.0634,0.0404,0.0482,0.336,57736999000,20137001000,10.99,0.626,0.054,95.36,6,16,2,1,0,7.49,8.47,0.466,2.132,0.771,7.26,1.442,116,37.02,76.83,82.42,326601000,323945000,0.540,88.900,2008-01-23,2008-01-07
