,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2011-10-14,16.500000,19.000000,16.250000,17.500000,16.042034,2954400,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-17,17.720000,18.950000,17.500000,18.600000,17.050391,354600,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-18,18.800000,19.000000,18.210000,19.000000,17.417066,136200,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-19,19.000000,19.420000,17.480000,17.650000,16.179537,145000,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-20,17.600000,18.300000,17.580000,17.876000,16.386709,260300,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-21,18.030000,19.800000,17.810000,19.560000,17.930411,644400,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-24,19.570000,21.500000,19.566000,20.230000,18.544592,194000,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-25,19.970000,20.430000,19.060000,19.390000,17.774574,125000,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-26,19.770000,20.199000,18.710000,19.040000,17.453733,59700,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
2011-10-27,19.740000,19.997000,18.750000,19.120000,17.527068,60500,0.000000,1.000000,UI,Common Stock,Ubiquiti Networks Inc,"Ubiquiti Inc. develops network technology for service providers, businesses and consumers. The company is headquartered in New York, New York.",1511737,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"2580 ORCHARD PARKWAY, SAN JOSE, CA, US",https://www.ui.com,June,2025-03-31,25646455000,735402000,46.74,0.82,7.21,2.4,0.0058,9.07,38.4,0.236,0.342,0.353,2.377,2321854000,978861000,9.07,1.365,0.347,343.5,1,0,0,0,1,46.74,42.02,11.05,58.81,11.15,35.19,1.356,468.51,146.3,386.51,333.35,60491000,4192000,93.056,4.917,2025-05-27,2025-05-19
