,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,31.380000,31.600000,30.970000,31.530000,24.938555,12199500,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-05,31.730000,31.970000,31.280000,31.480000,24.899007,11180700,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-06,31.600000,32.060000,31.410000,31.790000,25.144201,9761100,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-07,31.590000,33.050000,31.590000,33.010000,26.109156,11789800,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-08,32.860000,32.920000,32.340000,32.700000,25.863962,7228700,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-11,32.710000,33.130000,32.700000,32.920000,26.037971,7206900,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-12,32.700000,32.910000,31.540000,32.050000,25.349847,13121500,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-13,31.990000,32.550000,31.680000,32.540000,25.737411,8797200,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-14,32.680000,33.330000,32.330000,33.320000,26.354349,8818300,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
2010-01-15,33.540000,33.990000,33.100000,33.750000,26.694457,19382000,0.000000,1.000000,UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2025-03-31,279898030000,36238000000,12.92,0.822,104.44,8.4,0.0283,23.88,446.44,0.0539,0.0832,0.0704,0.227,410057015000,90168001000,23.88,0.026,0.098,385.25,6,14,5,1,1,12.92,13.57,0.683,2.945,0.797,8.98,0.453,621.24,247.13,332.28,490.2,907140000,904510000,0.252,91.229,2025-06-24,2025-06-16
