,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,58.180000,58.820000,57.980000,58.180000,35.240337,3897200,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-05,58.250000,59.000000,58.120000,58.280000,35.300908,5966300,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-06,58.210000,58.270000,57.810000,57.850000,35.040452,5770200,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-07,57.960000,57.960000,57.190000,57.410000,34.773939,5747000,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-08,59.770000,61.130000,59.520000,60.170000,36.445704,13779300,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-11,60.550000,63.380000,60.500000,62.820000,38.050842,13744900,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-12,62.520000,62.940000,62.100000,62.400000,37.796443,5662500,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-13,63.130000,63.220000,61.933300,62.070000,37.596558,5822600,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-14,61.850000,62.360000,61.840000,62.200000,37.675300,1304200,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
2010-01-15,62.170000,62.390000,61.730000,61.930000,37.511758,2666900,0.000000,1.000000,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",https://www.ups.com,December,2025-03-31,88177074000,11613000000,15.2,1.527,18.49,6.53,0.065,6.85,106.51,0.0644,0.0832,0.0734,0.359,90909999000,19435000000,6.85,0.074,-0.007,114.33,3,14,12,1,2,15.2,14.58,0.97,5.63,1.196,9.1,1.189,140.16,89.08,98.74,117.28,733727000,732878000,0.034,70.213,2025-06-05,2025-05-19
