,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,22.570000,22.910000,22.530000,22.880000,14.417521,12891700,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-05,22.760000,23.510000,22.740000,23.460000,14.783000,14503500,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-06,23.430000,23.870000,23.320000,23.710000,14.940534,12293600,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-07,23.640000,24.480000,23.500000,24.170000,15.230396,15241200,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-08,23.970000,24.260000,23.740000,24.210000,15.255602,9935000,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-11,24.500000,24.500000,24.110000,24.320000,15.324917,8482600,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-12,24.180000,24.540000,24.040000,24.310000,15.318616,13119300,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-13,24.290000,24.890000,24.120000,24.710000,15.570670,12736800,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-14,24.600000,25.410000,24.530000,25.330000,15.961355,13383700,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-15,25.220000,25.220000,24.460000,24.620000,15.513958,13590500,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-19,24.490000,24.770000,24.090000,24.490000,15.432040,15470200,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-20,24.800000,25.340000,24.770000,25.010000,15.759711,18602200,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-21,25.220000,25.740000,24.660000,25.140000,15.841629,24864100,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-22,25.060000,26.840000,24.570000,24.670000,15.545465,20007400,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-25,25.010000,25.130000,24.420100,24.810000,15.633684,13692400,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-26,24.390000,24.910000,24.230000,24.310000,15.318616,15866800,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-27,24.170000,25.225000,24.120000,25.120000,15.829026,19763800,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-28,25.230000,25.370000,24.790000,24.990000,15.747108,17788000,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-01-29,25.200000,25.460000,24.890000,25.080000,15.803821,18317200,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
2010-02-01,25.150000,25.359300,24.900000,25.180000,15.866834,12029500,0.000000,1.000000,USB,Common Stock,U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions.",36104,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"U.S. BANCORP, 800 NICOLLET MALL, MINNEAPOLIS, MN, US",https://www.usbank.com,December,2025-03-31,74676380000,None,11.86,1.79,34.15,1.99,0.0442,4.04,16.25,0.264,0.357,0.0099,0.115,25355999000,25355999000,4.04,0.326,0.042,50.61,6,9,8,0,1,11.86,11.1,2.945,1.401,5.75,-,1.017,52.21,34.8,43.42,45.83,1558030000,1553369000,0.126,81.178,2025-07-15,2025-06-30
