,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2011-11-08,22.500000,22.500000,17.390000,17.990000,14.743608,313300,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-09,17.590000,17.600000,17.250000,17.450000,14.301054,59100,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-10,17.550000,17.650000,17.050000,17.100000,14.014214,414800,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-11,18.000000,18.000000,17.400000,17.470000,14.317445,448700,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-14,17.750000,17.750000,17.510000,17.550000,14.383009,665800,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-15,17.650000,17.650000,17.000000,17.250000,14.137145,1611800,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-16,17.400000,17.400000,17.060000,17.140000,14.046995,494700,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-17,17.350000,17.350000,17.090000,17.120000,14.030605,82900,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-18,17.400000,17.400000,17.100000,17.110000,14.022409,203200,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
2011-11-21,17.250000,17.350000,17.010000,17.350000,14.219100,4455900,0.000000,1.000000,VAC,Common Stock,Marriot Vacations Worldwide,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells and manages vacation ownership and related products. The company is headquartered in Orlando, Florida.",1524358,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),"6649 WESTWOOD BLVD., ORLANDO, FL, US",https://www.marriottvacationsworldwide.com,December,2025-03-31,2766968000,671000000,13.7,1.48,70.52,3.1,0.0437,5.85,93.51,0.0688,0.179,0.0332,0.0947,3301000000,1842000000,5.85,0.179,0.029,89.3,2,4,2,0,2,13.7,12.09,0.838,1.136,1.583,12.39,1.478,97.17,48.64,66.39,76.39,34535300,28526800,8.647,89.847,2025-06-06,2025-05-23
