,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,17.250000,17.940000,17.110000,17.890000,9.978328,15454500,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-05,18.120000,18.570000,17.970000,18.350000,10.234898,17087200,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-06,18.390000,19.020000,18.160000,18.810000,10.491468,16896900,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-07,18.780000,19.050000,18.380500,18.950000,10.569554,12077800,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-08,18.930000,18.980000,18.525000,18.690000,10.424536,13914200,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-11,18.860000,18.930000,18.220000,18.510000,10.324140,10924500,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-12,18.170000,18.280000,17.790000,18.210000,10.156812,10643800,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-13,18.200000,18.200000,17.660000,18.060000,10.073148,16334700,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-14,18.060000,18.370000,17.900000,18.270000,10.190277,9420900,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
2010-01-15,18.250000,18.790000,18.150000,18.770000,10.469157,21476500,0.000000,1.000000,VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2025-03-31,45283328000,5162000000,49.34,6.68,75.0,4.34,0.0336,2.93,385.07,0.0076,0.0087,0.0246,0.0371,122355999000,6055000000,2.93,-0.746,-0.053,144.31,7,10,4,0,0,49.34,20.37,0.37,1.928,0.401,11.65,0.972,162.69,98.17,129.21,130.81,313206000,311684000,0.548,87.322,2025-06-18,2025-05-20
