,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,53.410000,53.410000,52.170000,52.730000,46.045194,1128000,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-05,52.850000,52.930000,52.000000,52.930000,46.219839,830300,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-06,52.990000,54.360000,52.990000,53.850000,47.023206,1082900,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-07,54.040000,54.040000,52.690000,53.170000,46.429413,1126900,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-08,53.110000,53.350000,52.290000,52.650000,45.975336,702000,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-11,53.090000,53.120000,51.700000,52.180000,45.564919,973600,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-12,51.710000,52.418100,51.590000,52.080000,45.477597,894800,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-13,52.170000,52.810000,51.610000,52.790000,46.097587,680100,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-14,52.670000,52.870000,52.070000,52.650000,45.975336,482600,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
2010-01-15,52.670000,52.810000,51.000000,51.160000,44.674229,1117100,0.000000,1.000000,VMC,Common Stock,Vulcan Materials Company,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials.",1396009,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1200 URBAN CENTER DRIVE, BIRMINGHAM, AL, US",https://www.vulcanmaterials.com,December,2025-03-31,35171369000,2133000000,37.45,2.344,61.58,1.87,0.0075,7.11,56.74,0.125,0.133,0.0598,0.121,7506600000,2060000000,7.11,0.269,0.058,295.68,4,14,5,1,0,37.45,32.15,4.685,4.324,5.39,19.57,0.836,297.11,214.69,263.54,259.63,132104000,131798000,0.184,94.019,2025-06-06,2025-05-23
