,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,33.400000,33.450000,33.090000,33.280000,14.143041,16176600,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-05,33.370000,33.400000,32.780000,32.860000,13.964553,23722900,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-06,32.640000,32.740000,31.800000,31.920000,13.766941,37506400,0.475000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-07,32.100000,32.100000,31.530000,31.730000,13.684995,25508200,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-08,31.660000,31.780000,31.420000,31.750000,13.693621,20658300,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-11,31.970000,31.970000,31.420000,31.880000,13.749689,21974900,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-12,31.780000,31.920000,31.690000,31.910000,13.762628,14407500,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-13,31.950000,32.040000,31.660000,31.870000,13.745376,17108700,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-14,31.820000,31.870000,31.200000,31.220000,13.465035,23054200,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
2010-01-15,31.200000,31.320000,30.450000,30.580000,13.189006,46642200,0.000000,1.000000,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.verizon.com,December,2025-03-31,183617683000,49337000000,10.37,2.159,23.89,2.698,0.0626,4.2,32.06,0.131,0.247,0.0515,0.184,135292002000,81199997000,4.2,0.055,0.015,48.07,7,6,13,0,0,10.37,9.29,1.357,1.823,2.58,7.27,0.38,46.61,36.83,43.2,42.51,4216250000,4210816000,0.035,67.473,2025-08-01,2025-07-10
