,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,27.410000,27.810000,27.300000,27.580000,26.914966,457600,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-05,27.520000,27.940000,27.350000,27.780000,27.110143,356300,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-06,27.550000,28.750000,27.550000,28.750000,28.056753,477700,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-07,28.870000,29.240000,28.720000,29.170000,28.466626,412800,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-08,29.200000,29.250000,28.780000,29.200000,28.495903,941600,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-11,29.480000,29.880000,29.190000,29.680000,28.964328,501800,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-12,29.490000,29.510000,28.990000,29.280000,28.573974,571100,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-13,29.230000,29.980000,29.170000,29.850000,29.130229,570300,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-14,29.610000,30.140000,29.460000,29.990000,29.266853,442100,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-15,29.700000,30.080000,29.480000,30.050000,29.325407,1031400,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-19,29.920000,31.170000,29.850000,30.800000,30.057322,887300,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
2010-01-20,30.650000,31.230000,30.380000,31.130000,30.379365,888000,0.000000,1.000000,WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",https://www.wesco.com,December,2025-03-31,9482071000,1408700000,14.73,1.769,103.18,1.691,0.0098,13.19,442.67,0.033,0.0454,0.0504,0.144,21812500000,4700300000,13.19,0.077,-0.001,207.18,3,8,2,0,0,14.73,14.6,0.435,1.883,0.67,9.73,1.836,214.54,124.88,171.77,177.42,48803700,47903800,1.887,100.434,2025-06-30,2025-06-13
