,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,4.740000,4.750000,4.550000,4.650000,3.119947,5284100,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-05,4.650000,4.660000,4.490000,4.570000,3.066270,5756300,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-06,4.570000,4.570000,4.380000,4.400000,2.952208,7635700,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-07,4.290000,4.530000,4.260000,4.500000,3.019304,8928300,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-08,4.420000,4.540000,4.330000,4.510000,3.026013,8293700,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-11,4.500000,4.520000,4.390000,4.430000,2.972337,8655000,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-12,4.400000,4.490000,4.350000,4.420000,2.965627,5373300,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-13,4.470000,4.620000,4.410000,4.600000,3.086399,8202300,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-14,4.600000,4.740000,4.550000,4.670000,3.133366,7693500,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
2010-01-15,4.700000,4.700000,4.590000,4.650000,3.119947,3285400,0.000000,1.000000,WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",30697,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"ONE DAVE THOMAS BLVD, DUBLIN, OH, US",https://www.wendys.com,December,2025-03-31,2242852000,516292000,12.43,1.217,0.665,1,0.0491,0.94,11.0,0.0857,0.156,0.046,0.904,2235211000,787743000,0.94,-0.05,-0.021,14.26,2,5,19,1,2,12.43,12.17,1.003,17.22,2.677,10.8,0.342,19.75,10.85,11.87,15.28,192025000,132075000,9.430,92.965,2025-06-16,2025-06-02
