,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,27.020000,27.480000,26.820000,27.320000,18.226526,39335700,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-05,27.270000,28.240000,27.240000,28.070000,18.726888,55416000,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-06,28.030000,28.330000,27.790000,28.110000,18.753574,33237000,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-07,28.120000,29.430000,27.920000,29.130000,19.434066,61649000,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-08,28.900000,29.350000,28.600000,28.860000,19.253936,35508700,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-11,29.090000,29.170000,28.580000,28.800000,19.213907,24387800,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-12,28.470000,28.550000,27.500000,28.080000,18.733559,39795000,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-13,27.990000,28.760000,27.800000,28.580000,19.067134,36715300,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-14,28.500000,29.210000,28.500000,28.990000,19.340665,31540700,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
2010-01-15,28.820000,28.900000,27.880000,28.080000,18.733559,47255900,0.000000,1.000000,WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2025-03-31,272049455000,None,15.04,1.898,49.81,1.55,0.02,5.56,23.02,0.259,0.277,0.0103,0.11,77254001000,77254001000,5.56,0.158,-0.036,82.72,6,11,7,0,1,15.04,14.62,3.522,1.674,5.87,-,1.155,83.95,48.97,74.9,70.99,3254180000,3246405000,0.088,78.548,2025-06-01,2025-05-09
