,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,20.830000,20.920000,20.630000,20.830000,7.296919,1989700,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-05,20.770000,21.470000,20.720000,21.410000,7.500098,2171600,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-06,21.360000,22.240000,21.270000,22.170000,7.766332,3849200,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-07,22.440000,23.270000,22.370000,23.230000,8.137659,4721300,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-08,23.110000,23.140000,22.760000,22.870000,8.011548,2817100,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-11,23.090000,23.090000,22.390000,22.670000,7.941486,2377100,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-12,22.420000,22.640000,21.660000,22.040000,7.720792,2469500,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-13,22.200000,22.870000,21.880000,22.750000,7.969511,1902300,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-14,22.540000,22.800000,21.690000,21.740000,7.615700,5808200,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-15,21.760000,21.780000,20.480000,20.500000,7.181317,3924800,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-19,20.490000,20.840000,20.370000,20.480000,7.174311,3116000,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-20,20.320000,20.350000,20.010000,20.240000,7.090237,3990300,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-21,20.350000,20.650000,19.900000,20.530000,7.191827,3012800,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
2010-01-22,20.580000,20.930000,19.980000,20.040000,7.020176,2687100,0.000000,1.000000,WSM,Common Stock,Williams-Sonoma Inc,"Williams-Sonoma, Inc. is an omnichannel specialty retailer of various home products. The company is headquartered in San Francisco, California.",719955,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES","3250 VAN NESS AVENUE, SAN FRANCISCO, CA, US",https://www.williams-sonomainc.com,January,2025-04-30,21302024000,1636895000,20.05,2.319,17.57,2.365,0.0162,8.64,62.29,0.141,0.168,0.171,0.501,7781306000,3552940000,8.64,-0.07,0.042,177.23,1,6,16,0,1,20.05,20.49,2.738,9.86,2.779,13.24,1.477,218.93,124.37,161.23,168.27,122998000,121474000,1.250,94.791,2025-08-22,2025-07-18
