,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,49.480000,49.790000,49.240000,49.640000,29.352335,208800,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-05,49.820000,49.820000,47.960000,48.280000,28.548161,664100,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-06,48.260000,48.980000,48.260000,48.610000,28.743292,279100,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-07,48.580000,49.520000,48.360000,49.360000,29.186770,262800,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-08,49.020000,49.390000,48.870000,49.230000,29.109900,141300,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-11,49.350000,49.350000,48.560000,48.880000,28.902944,114500,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-12,48.440000,48.970000,47.860000,48.890000,28.908857,209300,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-13,48.360000,49.290000,48.360000,49.160000,29.352335,773500,0.480000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-14,49.190000,50.130000,49.150000,49.750000,29.704611,504000,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
2010-01-15,52.240000,52.240000,50.260000,51.260000,30.606198,1014700,0.000000,1.000000,WSO,Common Stock,Watsco Inc,"Watsco, Inc. distributes air conditioning, heating and refrigeration equipment; and related parts and supplies in the United States, Canada, Mexico and Puerto Rico. The company is headquartered in Miami, Florida.",105016,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,"2665 S BAYSHORE DR, STE 901, COCONUT GROVE, FL, US",https://www.watsco.com,December,2025-03-31,18415180000,775730000,34.96,3.385,70.34,10.8,0.0272,13.08,201.66,0.0698,0.07,0.104,0.208,7584412000,2043711000,13.08,-0.111,-0.022,467.85,0,3,11,2,0,34.96,30.58,2.428,6.95,2.432,23.68,1.055,564.97,418.31,453.14,487.75,34885200,32864500,0.401,106.152,2025-04-30,2025-04-15
