,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,17.470000,17.600000,17.000000,17.480000,9.326190,1567760,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-05,17.570000,17.800000,17.320000,17.530000,9.352867,1753680,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-06,17.560000,17.610000,17.460000,17.560000,9.368873,1168800,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-07,17.560000,17.610000,17.410000,17.590000,9.384879,712880,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-08,17.550000,17.680000,17.510000,17.670000,9.427562,539440,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-11,17.760000,17.760000,17.550000,17.590000,9.384879,1062240,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-12,17.510000,17.690000,17.440000,17.570000,9.374208,548160,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-13,17.570000,17.740000,17.560000,17.740000,9.464909,524800,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-14,17.730000,17.810000,17.630000,17.780000,9.486251,435760,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
2010-01-15,17.730000,17.880000,17.430000,17.590000,9.384879,651840,0.000000,1.000000,WTRG,Common Stock,Essential Utilities Inc,"Essential Utilities, Inc. operates regulated utilities that provide water, wastewater, or natural gas services in the United States. The company is headquartered in Bryn Mawr, Pennsylvania.",78128,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,"762 W. LANCASTER AVE, BRYN MAWR, PA, US",https://www.essential.co,December,2025-03-31,10310831000,1239778000,16.49,4.391,23.35,1.284,0.0351,2.23,8.23,0.272,0.425,0.0304,0.0978,2257670000,1331919000,2.23,0.062,0.28,45.56,1,8,2,0,0,16.49,17.57,4.567,1.596,8.01,14.21,0.796,41.3,32.6,38.68,38.19,280338000,279494000,0.182,79.241,2025-06-02,2025-05-13
