,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,56.420000,58.370000,56.210000,57.910000,51.507602,10339400,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-05,58.070000,58.450000,57.270000,57.830000,51.436447,9003200,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-06,57.920000,60.800000,57.850000,60.400000,53.722313,11831200,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-07,60.240000,61.000000,58.870000,60.910000,54.175929,12132800,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-08,60.840000,66.080000,60.760000,65.340000,58.116158,25997900,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-11,66.200000,66.450000,62.800000,62.930000,55.972602,19441300,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-12,61.840000,64.720000,61.800000,62.930000,55.972602,22930900,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-13,63.700000,63.950000,61.420000,63.170000,56.186069,13217000,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-14,63.320000,63.870000,62.450000,63.560000,56.532951,11051000,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
2010-01-15,63.260000,63.630000,61.620000,62.040000,55.180999,12631800,0.000000,1.000000,X,Common Stock,United States Steel Corporation,"United States Steel Corporation produces and sells tubular and flat rolled steel products primarily in North America and Europe. The company is headquartered in Pittsburgh, Pennsylvania.",1163302,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","600 GRANT ST, ROOM 1500, PITTSBURGH, PA, US",https://www.ussteel.com,December,2025-03-31,12416818000,932000000,148.22,1.68,49.63,0.2,0.0036,0.37,67.53,0.0064,-0.0325,-0.0006,0.0086,15207000000,1367000000,0.37,-0.598,-0.104,48.36,2,0,7,0,0,148.22,24.94,0.817,1.105,1.056,14.58,1.878,54.91,26.82,46.26,39.67,226419000,204149000,1.213,102.982,2025-06-11,2025-05-12
