,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,12.930000,13.370000,12.880000,13.330000,9.988190,3974600,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-05,13.280000,13.830000,13.230000,13.800000,10.340361,5605500,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-06,13.670000,15.010000,13.660000,15.000000,11.239523,12615200,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-07,14.970000,17.000000,14.950000,16.680000,12.498350,24716800,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-08,16.190000,16.660000,15.520000,16.410000,12.296038,6903000,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-11,16.470000,16.790000,16.100000,16.510000,12.370969,5532000,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-12,16.380000,16.940000,15.830000,16.050000,12.026290,7340200,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-13,15.950000,16.570000,15.140000,16.350000,12.251080,10367200,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-14,16.360000,16.850000,16.250000,16.710000,12.520829,4677900,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
2010-01-15,16.780000,16.890000,16.115000,16.260000,12.183643,4889300,0.000000,1.000000,ZION,Common Stock,Zions Bancorporation,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",109380,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"ONE SOUTH MAIN STREET, 15TH FLOOR, SALT LAKE CITY, UT, US",https://www.zionsbancorporation.com,December,2025-03-31,8190191000,None,10.84,3.565,42.43,1.68,0.0331,5.12,21.1,0.258,0.336,0.0092,0.132,3106000000,3106000000,5.12,0.181,0.066,53.83,1,3,16,1,2,10.84,11.05,2.637,1.308,2.897,-,0.863,62.19,38.98,48.23,51.63,147571000,144413000,1.798,79.248,2025-05-22,2025-05-15
