,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2018-03-16,27.500000,33.470000,26.060000,33.000000,33.000000,16931889,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-19,31.450000,31.500000,26.750000,27.900000,27.900000,5892131,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-20,28.410000,30.904000,28.070000,30.380000,30.380000,3262038,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-21,30.790000,34.830000,29.290000,31.080000,31.080000,4460935,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-22,30.000000,31.880000,28.560000,29.830000,29.830000,3239508,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-23,30.310000,30.450000,28.600000,29.430000,29.430000,1247139,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-26,30.630000,30.937800,27.300000,27.830000,27.830000,1916674,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-27,28.000000,28.599000,26.600000,27.750000,27.750000,1719509,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-28,27.350000,28.190000,27.000000,27.530000,27.530000,825073,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-03-29,27.750000,28.455000,26.800000,28.070000,28.070000,1137560,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-04-02,27.900000,28.660000,26.807000,27.060000,27.060000,786724,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
2018-04-03,27.130000,27.190000,26.500000,26.800000,26.800000,787493,0.000000,1.000000,ZS,Common Stock,Zscaler Inc,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",https://www.zscaler.com,July,2025-04-30,49008427000,-73086000,None,4.248,11.59,None,None,-0.25,16.63,-0.0152,-0.0375,-0.0161,-0.0268,2546757000,1972811000,-0.25,0,0.226,314.35,10,24,12,0,1,-,84.75,19.24,27.15,18.55,468.57,1.089,317.26,153.45,269.24,213.11,155696000,98907000,36.792,58.307,None,None
