,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,46.790000,47.315000,46.570000,46.940000,31.628063,14570200,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-05,47.520000,48.320000,47.500000,48.070000,32.389455,24241000,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-06,48.260000,48.430000,47.380000,47.600000,32.072770,22743800,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-07,47.750000,49.020000,47.550000,48.980000,33.002610,25266300,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-08,49.110000,49.800000,48.890000,49.470000,33.332771,25938200,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-11,49.580000,49.690000,48.640000,49.290000,33.211488,14672400,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-12,48.860000,49.210000,48.070000,48.490000,32.672450,18009100,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-13,48.850000,48.950000,48.230000,48.700000,32.813947,12426700,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-14,48.260000,48.720000,48.220000,48.370000,32.591594,13751800,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
2010-01-15,48.610000,49.040000,48.110000,48.530000,32.699402,21540300,0.000000,1.000000,QCOM,Common Stock,Qualcomm Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",https://www.qualcomm.com,September,2025-03-31,178106581000,13351000000,16.55,2.33,25.21,3.4,0.0224,9.8,38.04,0.261,0.284,0.134,0.422,42285998000,23545999000,9.8,0.22,0.169,171.47,5,12,19,1,0,16.55,13.51,4.212,6.42,4.23,12.8,1.256,206.55,120.08,150.82,158.65,1098000000,1095749000,0.126,80.889,2025-06-26,2025-06-05
