,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,8.240000,8.480000,8.200000,8.310000,6.359790,1352700,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-05,8.330000,8.480000,8.290000,8.380000,6.413362,1370600,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-06,8.360000,8.430000,8.260000,8.300000,6.352136,992500,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-07,8.320000,8.490000,8.230000,8.480000,6.489894,1379000,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-08,8.480000,8.480000,8.260000,8.350000,6.390402,872600,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-11,8.460000,8.460000,8.240000,8.260000,6.321524,709000,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-12,8.230000,8.250000,8.090000,8.120000,6.214379,852900,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-13,8.120000,8.210000,8.020000,8.200000,6.306217,866200,0.040000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-14,8.210000,8.270000,8.160000,8.230000,6.329289,694700,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-15,8.270000,8.280000,7.980000,7.990000,6.144717,636200,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-19,8.020000,8.250000,8.020000,8.180000,6.290836,906200,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-20,8.130000,8.270000,8.000000,8.030000,6.175479,990700,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
2010-01-21,8.030000,8.140000,7.940000,7.980000,6.137026,879000,0.000000,1.000000,SCI,Common Stock,Service Corporation International,"Service Corporation International offers death care products and services in the United States and Canada. The company is headquartered in Houston, Texas.",89089,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,"1929 ALLEN PKWY, P O BOX 130548, HOUSTON, TX, US",https://www.sci-corp.com,December,2025-03-31,11642037000,1278499000,22.59,1.795,11.52,1.22,0.0157,3.62,29.12,0.126,0.23,0.0348,0.327,4215164000,1107861000,3.62,0.101,0.028,88.88,2,4,0,0,0,22.59,21.55,2.762,7.05,3.853,12.63,0.936,88.34,67.79,78.43,79.58,142358000,138384000,3.006,92.317,2025-06-30,2025-06-13
