,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2016-05-26,24.250000,25.090000,24.080000,24.910000,24.910000,28801530,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-05-27,25.000000,25.250000,24.700000,25.030000,25.030000,2872720,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-05-31,25.060000,25.090000,24.600000,24.990000,24.990000,1689457,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-01,24.990000,25.380000,24.750000,25.350000,25.350000,1418413,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-02,25.060000,25.435000,25.040000,25.280000,25.280000,786289,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-03,25.130000,25.450000,25.000000,25.290000,25.290000,418931,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-06,25.390000,25.450000,25.250000,25.310000,25.310000,489003,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-07,25.460000,25.640000,25.150000,25.400000,25.400000,635842,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-08,25.350000,25.590000,25.180000,25.220000,25.220000,303297,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-09,25.160000,25.180000,24.700000,24.950000,24.950000,459203,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-10,24.540000,24.895000,24.540000,24.720000,24.720000,589528,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-13,24.400000,24.620000,24.110000,24.280000,24.280000,1195169,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-14,24.110000,24.190000,23.320000,23.670000,23.670000,1912102,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-15,23.500000,24.067500,23.500000,23.990000,23.990000,975020,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-16,23.660000,24.080000,23.580000,23.740000,23.740000,1154412,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-17,23.750000,24.050000,23.395000,23.960000,23.960000,884174,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-20,24.560000,24.650000,23.530000,23.560000,23.560000,1797276,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-21,23.700000,24.170000,23.580000,23.890000,23.890000,818642,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-22,23.890000,23.940000,23.501400,23.570000,23.570000,1428101,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-23,23.720000,23.850000,23.080000,23.180000,23.180000,1753505,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-24,22.860000,23.640000,22.510000,23.340000,23.340000,4013900,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
2016-06-27,23.100000,24.200000,23.060000,23.760000,23.760000,1639893,0.000000,1.000000,USFD,Common Stock,US Foods Holding Corp,"US Foods Holding Corp. The company is headquartered in Rosemont, Illinois.",1665918,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,"9399 W. HIGGINS RD., SUITE 100, ROSEMONT, IL, US",https://www.usfoods.com,December,2025-03-31,18142466000,1622000000,35.97,0.244,19.96,None,None,2.18,161.18,0.0138,0.0245,0.0544,0.112,38279000000,6653000000,2.18,0.485,0.045,85.58,4,10,3,0,0,35.97,20.66,0.474,3.93,0.602,15.76,1.446,79.64,50.05,74.22,68.17,231350000,230020000,0.485,103.272,None,None
