,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,74.000000,74.000000,73.060000,73.380000,11.407409,510500,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-05,73.490000,75.210000,72.430000,74.780000,11.625049,1028900,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-06,74.790000,74.870000,73.880000,74.480000,11.578412,726100,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-07,74.170000,76.080000,74.170000,75.920000,11.802269,661000,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-08,75.840000,76.030000,75.210000,75.520000,11.740086,735100,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-11,75.910000,76.150000,74.340000,75.290000,11.704331,561900,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-12,75.080000,75.700000,73.860000,74.500000,11.581521,646900,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-13,74.550000,75.200000,74.150000,75.140000,11.681013,587800,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-14,75.290000,75.570000,74.430000,75.040000,11.665467,821300,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
2010-01-15,75.060000,75.200000,73.950000,74.620000,11.600175,701500,0.000000,1.000000,VFC,Common Stock,VF Corporation,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Denver, Colorado. The company's more than 30 brands are organized into three categories: Outdoor, Active and Work.",103379,NYSE,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","8505 E. ORCHARD ROAD, GREENWOOD VILLAGE, CO, US",https://www.vfc.com,March,2025-03-31,4903131000,729013000,69.89,0.14,3.817,0.36,0.0306,0.18,24.42,-0.02,0.0018,0.028,0.0441,9504691000,5085712000,0.18,-0.008,-0.046,14.59,2,3,17,1,1,69.89,14.84,0.516,3.296,1.035,17.0,1.715,28.68,9.34,12.59,18.23,389756000,386326000,0.954,96.172,2025-06-18,2025-06-10
