,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,44.400000,45.800000,44.400000,45.260000,27.470705,3118200,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-05,45.350000,47.440000,45.050000,46.460000,28.199049,7048900,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-06,46.540000,46.905000,46.050000,46.500000,28.223327,3996100,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-07,46.400000,46.500000,45.080000,45.590000,27.671000,3626500,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-08,45.490000,45.840000,45.150000,45.820000,27.810599,2521700,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-11,45.910000,46.450000,45.540000,45.870000,27.840947,2787900,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-12,45.590000,46.030000,44.050000,44.690000,27.124742,4171400,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-13,44.800000,45.530000,44.040000,45.460000,27.592096,2811200,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-14,45.440000,46.160000,45.420000,45.770000,27.780252,2097700,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-15,45.760000,45.840000,43.360000,43.980000,26.693805,4874900,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-19,44.040000,45.040000,44.040000,44.960000,27.288619,2865100,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-20,44.570000,44.650000,43.280000,44.260000,26.863752,3707900,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-21,46.440000,47.000000,44.630000,45.290000,27.488914,9389700,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-22,44.950000,44.950000,40.700000,40.740000,24.727277,10991300,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-25,41.410000,42.150000,41.090000,41.490000,25.182492,5392000,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-26,41.480000,41.700000,40.630000,40.860000,24.800111,4574200,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
2010-01-27,40.800000,41.140000,39.960000,40.640000,24.666581,3780100,0.000000,1.000000,WDC,Common Stock,Western Digital Corporation,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",106040,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, US",https://www.westerndigital.com,June,2025-03-31,23053861000,2290000000,22.63,490.33,14.83,0,0.0063,2.92,45.56,0.105,0.154,0.0556,0.136,15605000000,4457000000,2.92,-0.959,-0.41,59.38,5,15,5,0,0,22.63,11.99,1.477,4.453,1.739,17.41,1.543,66.83,28.78,52.31,48.83,348878000,346052000,0.749,104.356,2025-06-18,2025-06-04
