,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2015-08-03,27.650000,28.820000,25.720000,27.740000,27.740000,144700,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-04,27.000000,27.030000,24.610000,25.800000,25.800000,129100,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-05,27.110000,27.470000,24.560000,25.240000,25.240000,107700,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-06,24.810000,26.950000,22.990000,26.950000,26.950000,73100,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-07,27.500000,27.500000,24.200000,26.500000,26.500000,52200,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-10,25.760000,26.500000,25.460000,26.140000,26.140000,51400,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-11,25.440000,26.020000,24.560000,25.380000,25.380000,141000,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-12,25.000000,26.210000,25.000000,25.990000,25.990000,172600,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-13,26.000000,26.600000,25.760000,26.200000,26.200000,229600,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
2015-08-14,26.130000,26.210000,24.660000,25.190000,25.190000,103300,0.000000,1.000000,Z,Common Stock,Zillow Group Inc Class C,"Zillow Group, Inc., a digital real estate company, operates real estate brands on mobile apps and websites in the United States. The company is headquartered in Seattle, Washington.",1617640,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1301 SECOND AVENUE, FLOOR 31, SEATTLE, WA, US",https://www.zillowgroup.com,December,2025-03-31,17383555000,-67000000,None,0.73,19.7,None,None,-0.35,9.77,-0.0351,-0.0151,-0.0159,-0.0172,2305000000,1762000000,-0.35,-0.25,0.13,78.2,1,0,4,0,0,-,43.29,7.54,3.684,7.14,77.68,2.114,89.39,41.67,68.56,71.37,183360000,222371000,7.091,95.937,None,None
