,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,28.470000,28.700000,28.070000,28.670000,28.670000,168800,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-05,28.550000,29.370000,28.540000,28.620000,28.620000,168800,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-06,27.410000,28.490000,27.320000,28.400000,28.400000,385300,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-07,28.230000,28.300000,27.610000,27.690000,27.690000,183600,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-08,27.580000,27.610000,27.280000,27.600000,27.600000,266500,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-11,27.640000,27.840000,27.290000,27.690000,27.690000,104100,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-12,27.530000,27.870000,27.330000,27.660000,27.660000,120400,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-13,27.660000,28.080000,27.470000,28.050000,28.050000,155900,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-14,28.040000,28.310000,27.860000,28.130000,28.130000,119000,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
2010-01-15,28.040000,28.090000,27.800000,27.910000,27.910000,107200,0.000000,1.000000,ZBRA,Common Stock,Zebra Technologies Corporation,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",877212,NASDAQ,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"3 OVERLOOK POINT, LINCOLNSHIRE, IL, US",https://www.zebra.com,December,2025-03-31,16462554000,963000000,30.57,1.426,70.91,None,None,10.59,99.32,0.107,0.151,0.0654,0.162,5114000000,2495000000,10.59,0.175,0.113,320.84,2,9,8,0,0,30.57,22.27,3.219,4.54,3.509,18.61,1.754,427.76,205.73,285.4,335.36,50854000,50409000,0.649,93.158,None,None
